,ea_id,com_roadtype,com_vehicles,com_bus,com_urbancenter,com_dailymrkt,com_weeklymrkt,com_postoffice,com_publicphone,com_distprimary,com_classrooms,com_schoolelec,com_medicines,com_clinic,com_distclinic,com_bank
136,10737199,GRADED GRAVELED,YES,Yes,No,Yes,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
137,10739309,GRADED GRAVELED,YES,No,Yes,No,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
138,10741504,DIRT ROAD (MAINTAINED),YES,Yes,Yes,Yes,No,No,YES,3 to 5 kilometers,No,Yes,Yes,No,0 to 5 kilometes,No
139,10744039,GRADED GRAVELED,YES,No,Yes,No,No,No,NO,3 to 5 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
140,10744154,GRADED GRAVELED,NO,No,No,Yes,No,No,YES,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
141,10744649,GRADED GRAVELED,YES,No,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
142,10746033,DIRT ROAD (MAINTAINED),YES,No,Yes,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
143,10746244,TAR/ASPHALT,YES,No,Yes,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,0 to 5 kilometes,No
144,20101014,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,,No,No,Yes,No,11 to 15 kilometers,No
145,20101387,TAR/ASPHALT,YES,Yes,No,No,No,No,YES,Under 2 kilometers,Yes,No,Yes,No,11 to 15 kilometers,No
146,20102311,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
147,20103365,DIRT TRACK,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,6 to 10 kilometers,No
148,20105073,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,In the community,No,No,Yes,No,0 to 5 kilometes,No
149,20105181,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,No,No,YES,In the community,No,No,Yes,No,0 to 5 kilometes,No
150,20106042,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
151,20107490,DIRT TRACK,NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
152,20107615,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,No,NO,In the community,Yes,No,Yes,Yes,,No
153,20108739,DIRT TRACK,NO,No,No,No,No,No,NO,5 and above kilometers,No,No,Yes,No,26 to 30 kilometers,No
154,20109486,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,No,NO,In the community,No,No,Yes,No,11 to 15 kilometers,No
155,20109653,DIRT TRACK,NO,No,No,No,No,No,NO,In the community,No,No,Yes,Yes,,No
156,20110170,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
157,20110620,DIRT TRACK,NO,No,No,No,Yes,No,NO,In the community,Yes,No,Yes,No,6 to 10 kilometers,No
158,20111107,DIRT TRACK,NO,No,No,No,No,No,NO,In the community,Yes,No,Yes,No,0 to 5 kilometes,No
159,20111530,DIRT TRACK,NO,No,No,Yes,Yes,No,NO,In the community,No,No,Yes,No,11 to 15 kilometers,No
160,20111718,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,In the community,No,No,Yes,No,6 to 10 kilometers,No
161,20112290,DIRT TRACK,NO,No,No,Yes,No,No,NO,In the community,No,No,Yes,No,6 to 10 kilometers,No
162,20112334,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,In the community,No,No,Yes,No,11 to 15 kilometers,No
163,20112661,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,YES,In the community,No,Yes,Yes,No,21 to 25 kilometers,No
164,20113112,DIRT ROAD (MAINTAINED),NO,No,No,No,Yes,No,NO,Under 2 kilometers,No,No,Yes,Yes,,No
165,20113529,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
166,20115434,DIRT TRACK,YES,No,No,No,No,No,YES,Under 2 kilometers,Yes,No,Yes,No,11 to 15 kilometers,No
167,20120081,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,YES,In the community,Yes,No,Yes,No,0 to 5 kilometes,No
168,20201109,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,,No,No,Yes,No,6 to 10 kilometers,No
169,20201206,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,3 to 5 kilometers,No,No,Yes,No,26 to 30 kilometers,No
170,20201264,DIRT ROAD (MAINTAINED),NO,No,No,Yes,No,No,NO,,Yes,No,Yes,Yes,,Yes
171,20201269,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,11 to 15 kilometers,No
172,20201354,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,No,Yes,YES,Under 2 kilometers,Yes,Yes,Yes,Yes,,Yes
173,20201450,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,NO,Under 2 kilometers,Yes,No,Yes,Yes,,Yes
174,20201646,TAR/ASPHALT,YES,Yes,No,No,Yes,Yes,YES,In the community,Yes,No,Yes,Yes,,No
175,20202343,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,NO,,Yes,No,Yes,Yes,,No
176,20203135,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,No,YES,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
177,20203494,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,NO,3 to 5 kilometers,No,No,Yes,No,6 to 10 kilometers,No
178,20203656,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
179,20203694,DIRT ROAD (MAINTAINED),NO,No,No,No,Yes,Yes,NO,,Yes,No,Yes,Yes,,No
180,20204124,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,,Yes,Yes,Yes,Yes,,No
181,20204712,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,Yes,NO,3 to 5 kilometers,No,No,Yes,No,11 to 15 kilometers,No
